,name,album,artist,release_date,length,popularity,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
45,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,93,0,1,0.297,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3,1
46,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,284773,62,7,1,0.232,0.601,0.622,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,3,1
47,Remember That Night?,Remember That Night?,Sara Kays,2020-11-06,227186,79,7,0,0.554,0.679,0.585,0.61,9.51e-05,0.156,-10.936,0.0305,123.978,4,1
48,Falling,Fine Line,Harry Styles,2019-12-13,240133,85,4,1,0.0592,0.567,0.839,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,1
49,What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels,2019-01-24,173306,84,0,1,0.386,0.516,0.662,0.467,0.0,0.0853,-6.184,0.0302,132.861,4,1
50,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane,2021-08-20,204093,87,0,1,0.223,0.422,0.877,0.34,1.77e-05,0.149,-6.577,0.0351,77.213,4,1
51,July,July,Noah Cyrus,2019-07-31,156106,2,9,0,0.321,0.708,0.868,0.186,0.0,0.0779,-8.953,0.0422,72.541,4,1
52,Easy On Me,Easy On Me,Adele,2021-10-14,224694,100,5,1,0.13,0.604,0.578,0.366,0.0,0.133,-7.519,0.0282,141.981,4,1
53,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,613026,93,0,1,0.205,0.631,0.274,0.518,0.0,0.088,-8.771,0.0303,93.023,4,1
54,Never the 1,Never the 1,ROSIE,2020-10-30,171960,62,1,1,0.33,0.483,0.906,0.27,0.0,0.12,-11.902,0.266,78.49,4,1
55,Astronomy,Astronomy,Conan Gray,2021-05-07,243907,76,4,0,0.111,0.471,0.593,0.335,2.11e-05,0.297,-8.767,0.0273,145.252,3,1
56,feel like shit,feel like shit,Tate McRae,2021-11-11,204314,81,7,1,0.161,0.508,0.516,0.378,0.0,0.119,-7.158,0.0473,144.962,4,1
57,Best Days,In The Meantime,Alessia Cara,2021-09-24,211837,68,6,1,0.227,0.518,0.875,0.318,4.21e-06,0.13,-11.727,0.0749,77.594,4,1
58,GHOST TOWN,GHOST TOWN,Benson Boone,2021-10-15,193733,87,0,1,0.116,0.391,0.389,0.335,0.0,0.102,-10.064,0.0763,174.185,3,1
59,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,40,10,1,0.132,0.585,0.721,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4,1
60,Make It To Me,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,2015-11-06,162732,78,1,1,0.225,0.456,0.63,0.379,3.1e-06,0.0983,-8.573,0.0685,149.967,4,1
61,Renegade (feat. Taylor Swift),Renegade (feat. Taylor Swift),Big Red Machine,2021-07-02,254466,70,0,1,0.586,0.532,0.435,0.708,0.0236,0.107,-8.121,0.0505,167.977,4,1
62,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,83,6,1,0.152,0.298,0.778,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4,1
63,when was it over? (feat. Sam Hunt),when was it over? (feat. Sam Hunt),Sasha Alex Sloan,2021-04-23,218093,71,7,1,0.494,0.626,0.816,0.453,1.91e-06,0.0904,-9.295,0.0306,129.958,4,1
64,wish i loved you in the 90s,TOO YOUNG TO BE SAD,Tate McRae,2021-03-26,176853,64,1,1,0.38,0.435,0.871,0.481,0.0,0.136,-8.787,0.0327,77.398,4,1
65,Heather,Kid Krow,Conan Gray,2020-03-20,198040,86,5,1,0.27,0.357,0.584,0.425,0.0,0.322,-7.301,0.0333,102.078,3,1
66,Back to Friends,Back to Friends,Lauren Spencer-Smith,2021-07-15,215980,67,2,1,0.216,0.749,0.82,0.319,0.0,0.0993,-9.946,0.0771,116.828,4,1
67,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,72,10,1,0.645,0.581,0.769,0.619,0.000106,0.117,-6.524,0.0282,137.915,4,1
68,Crying Over You,Crying Over You,The Band CAMINO,2020-07-31,178949,64,11,1,0.163,0.463,0.679,0.411,0.0,0.0453,-8.25,0.0414,147.3,4,1
69,Goodnight,Three. Two. One.,Lennon Stella,2020-04-24,176746,55,2,1,0.0974,0.484,0.603,0.346,0.000181,0.204,-10.441,0.0371,79.972,3,1
70,could cry just thinkin about you,could cry just thinkin about you (Full Version),Troye Sivan,2021-07-09,158000,67,6,1,0.188,0.515,0.318,0.323,0.0,0.106,-11.05,0.0429,147.972,4,1
71,Cry with you,Cry with you,Jeremy Zucker,2021-08-20,217044,65,2,1,0.356,0.51,0.321,0.307,1.5e-06,0.174,-9.921,0.101,159.794,3,1
72,Cry Over Boys,"Oh No, Not Again! - EP",Alexander 23,2021-02-19,170812,64,7,1,0.378,0.855,0.837,0.254,2.44e-05,0.527,-13.551,0.0664,118.006,4,1
73,House With No Mirrors,Only Child,Sasha Alex Sloan,2020-10-16,227613,55,2,1,0.341,0.72,0.832,0.408,2.61e-06,0.0992,-11.725,0.0498,121.972,4,1
74,my tears ricochet,folklore (deluxe version),Taylor Swift,2020-08-18,255893,64,0,1,0.112,0.456,0.814,0.265,0.0,0.0679,-10.663,0.0328,129.947,4,1
75,Love You From a Distance,Love You From a Distance,Ashley Kutcher,2020-10-30,204000,70,4,1,0.63,0.333,0.557,0.538,0.0,0.0977,-8.653,0.0325,149.377,4,1
76,Walked Through Hell,Walked Through Hell,Anson Seabra,2020-11-20,216864,72,10,1,0.129,0.508,0.664,0.404,0.0,0.104,-11.092,0.0788,81.713,4,1
77,all i need (the distance song),"As Written, Vol. 1",Avery Lynch,2021-02-19,244390,20,8,1,0.376,0.651,0.976,0.119,0.0,0.163,-16.58,0.04,97.061,4,1
78,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,86,4,1,0.0823,0.667,0.785,0.373,0.0,0.0906,-9.389,0.05,124.148,4,1
79,Place In Me,Place In Me,Luke Hemmings,2021-08-05,187443,56,8,1,0.218,0.274,0.865,0.345,2.36e-06,0.12,-6.715,0.0309,68.639,4,1
80,"I miss you, I’m sorry",minor,Gracie Abrams,2020-07-14,167538,72,7,1,0.151,0.445,0.731,0.455,1.47e-06,0.124,-6.405,0.0575,109.885,5,1
81,A Concert Six Months From Now,A Concert Six Months From Now,FINNEAS,2021-08-05,205286,54,7,1,0.268,0.53,0.712,0.232,0.0,0.132,-10.272,0.0584,138.908,3,1
82,you were good to me,you were good to me,Jeremy Zucker,2019-04-19,219173,0,2,1,0.21,0.46,0.909,0.0834,1.98e-05,0.112,-15.095,0.0433,98.329,4,1
83,Fix It to Break It,Fix It to Break It,Clinton Kane,2020-03-27,198798,68,2,1,0.35,0.493,0.845,0.461,0.0,0.115,-8.524,0.0456,51.414,4,1
84,evermore (feat. Bon Iver),evermore,Taylor Swift,2020-12-11,304106,68,1,1,0.32,0.39,0.937,0.27,0.00227,0.111,-10.673,0.0308,125.177,5,1
85,Keep Your Head Up Princess,Keep Your Head Up Princess,Anson Seabra,2021-10-12,198220,67,6,1,0.528,0.689,0.97,0.143,0.0,0.109,-17.374,0.264,85.398,4,1
86,Young & Sad,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,190182,62,7,0,0.359,0.618,0.592,0.428,0.0,0.192,-8.5,0.038,142.021,4,1
87,One More I Love You,One More I Love You,Alex Warren,2021-06-11,216935,68,8,1,0.546,0.631,0.768,0.381,0.00218,0.261,-8.232,0.0386,92.951,4,1
88,Crazier Things,How To Be Human,Chelsea Cutler,2020-01-17,304560,58,2,1,0.254,0.606,0.731,0.237,3.35e-06,0.127,-13.084,0.029,93.105,4,1
89,A Little Bit Yours,A Little Bit Yours,JP Saxe,2020-09-02,225680,68,1,1,0.314,0.598,0.735,0.295,0.0,0.107,-8.553,0.0276,87.025,4,1
90,Grey,The Good Times and The Bad Ones,Why Don't We,2021-01-15,277694,67,2,1,0.199,0.298,0.869,0.295,0.0,0.111,-8.789,0.0318,171.361,4,1
91,Water Fountain,Narrated For You,Alec Benjamin,2018-11-16,218893,82,8,1,0.551,0.723,0.388,0.504,7.4e-05,0.087,-5.572,0.0392,133.975,4,1
92,Let Somebody Go,Music Of The Spheres,Coldplay,2021-10-15,241595,84,0,1,0.155,0.592,0.193,0.342,0.00245,0.11,-8.93,0.0339,130.953,4,1
93,Skinny Dipping - Acoustic,Skinny Dipping (Acoustic),Sabrina Carpenter,2021-10-22,192887,55,4,1,0.576,0.411,0.71,0.28,0.0,0.128,-11.182,0.063,172.073,4,1
94,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,297013,66,4,1,0.255,0.473,0.214,0.579,0.0,0.0877,-5.824,0.0384,73.942,4,1
95,Closure,Closure,Hayd,2021-04-01,196277,43,2,1,0.35,0.696,0.967,0.106,0.0,0.292,-16.185,0.0458,124.168,4,1
96,Dumb Love,Dumb Love,Mimi Webb,2021-06-11,207068,75,0,1,0.175,0.569,0.0296,0.422,0.0,0.0613,-5.856,0.0302,76.96,4,1
97,Gone,Gone,Blake Rose,2020-02-07,205462,65,11,0,0.14,0.317,0.039,0.545,0.0,0.116,-6.439,0.0469,139.014,5,1
98,The Way You Felt,The Way You Felt,Alec Benjamin,2021-04-30,182810,68,0,1,0.736,0.872,0.715,0.52,0.0,0.0982,-6.928,0.0618,131.918,4,1
99,Devil On My Shoulder,Devil On My Shoulder,Chelsea Cutler,2021-10-01,212493,62,7,1,0.372,0.661,0.649,0.323,1.82e-05,0.193,-9.579,0.0412,129.955,4,1
100,Male Fantasy,Happier Than Ever,Billie Eilish,2021-07-30,194886,75,2,1,0.308,0.687,0.863,0.288,0.0,0.0986,-10.415,0.045,110.927,4,1
101,happiness,evermore,Taylor Swift,2020-12-11,315146,68,11,1,0.211,0.559,0.87,0.334,0.0,0.114,-10.733,0.0376,122.079,4,1
102,Changes,Changes,Hayd,2020-11-13,214814,47,6,1,0.29,0.648,0.939,0.115,3.88e-05,0.11,-17.133,0.0445,119.967,4,1
103,Broken,Broken,Jonah Kagen,2021-01-29,195401,3,1,1,0.229,0.504,0.518,0.352,0.0,0.105,-11.99,0.0615,83.259,4,1
104,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,85,0,1,0.543,0.449,0.524,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3,1
105,The Worst Of You,People Don't Change,PJ Harding,2021-04-23,209813,60,10,0,0.404,0.555,0.791,0.35,6.64e-06,0.11,-10.955,0.0503,77.772,4,1
106,wish you well,these words are all for you,Wrabel,2021-09-24,182187,62,0,1,0.249,0.572,0.59,0.336,0.0,0.142,-7.232,0.0346,133.974,4,1
107,Break My Heart Again,Break My Heart Again,FINNEAS,2018-02-09,238012,66,4,0,0.483,0.402,0.907,0.151,0.0,0.0941,-14.227,0.0395,144.293,4,1
108,Stay,Stay,Gracie Abrams,2019-11-21,177152,69,10,1,0.433,0.618,0.883,0.37,0.0,0.123,-10.5,0.0543,114.26,4,1
109,(Wish I Didn't Have to) Lie [feat. JORDY],(Wish I Didn't Have to) Lie [feat. JORDY],Catie Turner,2021-10-13,175413,56,2,1,0.279,0.506,0.819,0.281,0.0,0.0904,-8.53,0.0347,89.814,4,1
110,Panic Attacks in Paradise,Panic Attacks in Paradise / Maggots,Ashnikko,2021-09-29,184885,70,8,0,0.214,0.695,0.554,0.386,0.0,0.0906,-5.114,0.0337,127.947,4,1
111,Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,82,6,0,0.225,0.311,0.701,0.485,0.0,0.0726,-5.726,0.0365,77.355,4,1
112,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,83,1,0,0.0784,0.498,0.511,0.59,0.0,0.107,-4.721,0.032,145.867,4,1
113,Liability,Melodrama,Lorde,2017-06-16,171727,76,10,0,0.379,0.587,0.92,0.229,0.0,0.1,-11.254,0.128,75.67,4,1
114,Strange,Not Your Muse (Deluxe),Celeste,2021-01-29,255986,76,2,1,0.112,0.286,0.934,0.0847,6.94e-06,0.121,-9.883,0.0397,70.743,4,1
115,I Lost a Friend,I Lost a Friend,FINNEAS,2019-05-03,237020,61,11,1,0.216,0.453,0.587,0.209,0.0,0.119,-11.917,0.223,169.316,4,1
116,Rockland,Rockland,Gracie Abrams,2021-10-22,217368,64,5,1,0.398,0.486,0.786,0.402,0.000182,0.103,-11.389,0.048,125.801,4,1
117,Here's Your Perfect,Here's Your Perfect (Acoustic),Jamie Miller,2021-07-09,158594,45,6,1,0.424,0.558,0.499,0.454,0.0,0.146,-5.335,0.0551,113.12,4,1
118,Crocodiles,Crocodiles,Cian Ducrot,2021-03-25,240065,52,7,0,0.348,0.543,0.658,0.44,0.0,0.113,-10.974,0.0379,139.58,4,1
119,"Burning Bridges - Up Close, Acoustic","Burning Bridges (Up Close, Acoustic)",Sigrid,2021-10-01,168538,52,3,0,0.345,0.746,0.813,0.35,3.78e-06,0.228,-8.961,0.035,115.045,4,1
120,Love is Pain,Optimist,FINNEAS,2021-10-15,224278,69,9,1,0.107,0.609,0.927,0.141,0.000104,0.0923,-15.33,0.0394,78.233,4,1
121,Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,206458,22,4,1,0.0916,0.505,0.576,0.34,0.0,0.21,-9.005,0.0438,101.993,4,1
122,"It's Raining, It's Pouring","It's Raining, It's Pouring",Anson Seabra,2021-03-12,183089,61,2,0,0.286,0.598,0.68,0.444,1.94e-05,0.142,-8.683,0.0327,113.919,4,1
123,Someone Like You (feat. Joy Oladokun),I Was / I Am,Noah Kahan,2021-09-17,186552,66,5,1,0.366,0.614,0.468,0.526,0.0,0.0939,-7.492,0.0603,177.913,4,1
124,My Person,My Person,Tayler Buono,2021-02-12,186879,49,2,1,0.215,0.504,0.599,0.596,0.0,0.376,-7.753,0.384,143.818,4,1
125,Light Year (feat. Lennon Stella),Light Year (feat. Lennon Stella),Adam Melchor,2021-04-28,188043,59,3,1,0.517,0.395,0.496,0.495,0.0378,0.12,-9.087,0.0329,168.01,4,1
126,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,58,11,0,0.0765,0.631,0.879,0.226,0.0,0.115,-7.257,0.0396,79.968,4,1
127,Not Usually Like This,Not Usually Like This,Cian Ducrot,2021-02-04,199851,51,11,1,0.757,0.705,0.684,0.476,0.0,0.16,-9.039,0.0894,134.947,5,1
128,Two Week Notice,Two Week Notice,Leanna Firestone,2021-05-13,238000,51,4,1,0.462,0.456,0.925,0.311,6.68e-05,0.111,-11.95,0.09,185.544,4,1
129,i can't breathe,aurora,Bea Miller,2018-02-23,213986,62,11,1,0.0735,0.347,0.893,0.209,0.00287,0.138,-11.152,0.0273,82.878,4,1
130,Baby Blue,When Facing the Things We Turn Away From,Luke Hemmings,2021-08-13,223182,60,0,1,0.465,0.54,0.188,0.82,0.0,0.0724,-3.848,0.0437,123.991,4,1
131,Is It Just Me? (feat. JP Cooper),Is It Just Me?,Emily Burns,2021-01-15,203300,45,4,1,0.288,0.478,0.688,0.339,0.0,0.104,-7.355,0.0544,145.441,4,1
132,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,80,0,1,0.12,0.421,0.952,0.131,0.00453,0.109,-18.435,0.0382,137.446,4,1
133,Never Be Me,Plastic Hearts,Miley Cyrus,2020-11-27,215520,63,1,0,0.154,0.475,0.0578,0.565,4.84e-05,0.341,-7.853,0.0378,165.091,4,1
134,Learning To Live Without You,Learning To Live Without You,Hajaj,2021-10-15,193784,56,0,1,0.174,0.559,0.747,0.237,2.05e-06,0.125,-15.007,0.0537,67.442,4,1
135,Unstable (feat. The Kid LAROI),Justice,Justin Bieber,2021-03-19,158324,73,4,0,0.37,0.495,0.737,0.333,0.0,0.112,-10.109,0.0288,99.757,4,1
136,Visiting Hours,Visiting Hours,Ed Sheeran,2021-08-19,215506,80,8,1,0.263,0.471,0.77,0.396,0.0,0.0729,-6.654,0.0336,149.609,4,1
137,Motion Sickness,Stranger in the Alps,Phoebe Bridgers,2017-09-22,229760,48,1,1,0.626,0.652,0.774,0.545,0.0428,0.0847,-9.021,0.0358,107.019,4,1
138,Self Control,Blonde,Frank Ocean,2016-08-20,249667,74,8,1,0.446,0.572,0.765,0.209,0.0,0.356,-10.413,0.0313,80.069,4,1
139,4am,4am,girl in red,2018-08-10,110861,63,9,1,0.295,0.416,0.672,0.389,0.38,0.205,-13.696,0.0385,168.897,4,1
140,I Love You So,Songs for Dads,The Walters,2014-11-28,160253,80,10,1,0.503,0.578,0.65,0.669,0.0,0.13,-4.898,0.0377,75.995,4,1
141,Outside with the Cuties,Next Thing,Frankie Cosmos,2016-04-01,154305,53,9,1,0.158,0.524,0.689,0.182,0.000106,0.16,-13.154,0.0637,85.72,4,1
142,505,Favourite Worst Nightmare,Arctic Monkeys,2007-04-22,253586,80,0,1,0.248,0.526,0.00287,0.866,7.78e-05,0.0945,-5.822,0.0568,140.266,4,1
143,First Love / Late Spring,Bury Me At Makeout Creek,Mitski,2014-11-11,278640,78,0,1,0.102,0.445,0.000825,0.543,0.0137,0.202,-8.196,0.0272,99.963,4,1
144,Bags,Immunity,Clairo,2019-08-02,260519,71,1,1,0.868,0.742,0.172,0.546,0.38,0.115,-7.694,0.0315,104.996,4,1
145,Sarah,Trick,Alex G,2012-11-05,176146,63,4,0,0.497,0.65,0.514,0.686,0.000188,0.138,-5.198,0.0314,124.023,4,1
146,Lovers Rock,French Exit,TV Girl,2014-06-05,213920,78,5,0,0.573,0.559,7.53e-06,0.871,0.00524,0.096,-5.338,0.0392,104.976,4,1
147,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead,The Smiths,1986-06-16,244586,73,4,1,0.876,0.523,0.04,0.769,0.0,0.136,-5.855,0.0269,136.162,4,1
148,we fell in love in october,we fell in love in october / forget her,girl in red,2018-11-21,184153,84,7,1,0.237,0.566,0.113,0.366,0.181,0.155,-12.808,0.028,129.959,4,1
149,i saw you in a dream,Good At Falling,The Japanese House,2019-03-01,200304,61,4,1,0.226,0.26,0.837,0.261,0.0,0.249,-9.651,0.0358,138.2,3,1
150,Francis Forever,Bury Me At Makeout Creek,Mitski,2014-11-11,149680,73,2,1,0.32,0.535,0.00262,0.448,1.94e-05,0.115,-9.167,0.0279,101.986,4,1
151,Souvenir,boygenius,Julien Baker,2018-10-26,212467,0,6,0,0.167,0.598,0.732,0.3,0.502,0.0946,-11.044,0.0264,109.034,4,1
152,Space Song,Depression Cherry,Beach House,2015-08-28,320466,80,0,0,0.601,0.508,0.229,0.792,0.124,0.145,-7.311,0.0297,147.067,4,1
153,No Surprises,OK Computer,Radiohead,1997-05-28,229120,73,5,1,0.118,0.255,0.0577,0.393,0.00361,0.113,-10.654,0.0278,76.426,4,1
154,Dealer,Blue Banisters,Lana Del Rey,2021-10-22,274293,80,0,0,0.381,0.602,0.318,0.59,0.000166,0.104,-6.346,0.0279,130.08,4,1
155,Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)",Dr. Dog,2010-11-02,234800,78,2,1,0.575,0.454,0.132,0.82,0.000969,0.115,-4.193,0.0567,166.303,4,1
156,Fade Into You,So Tonight That I Might See,Mazzy Star,1993-10-05,295600,74,9,1,0.175,0.42,0.245,0.33,0.000679,0.0677,-13.925,0.0275,157.143,3,1
